year,locationname,category,measure,data_value,totalpopulation,short_question_text
2018,17031020500,Health Outcomes,Stroke among adults aged >=18 years,3.8,6214,Stroke
2018,17031020901,Health Outcomes,Stroke among adults aged >=18 years,3.1,5221,Stroke
2018,17031030300,Unhealthy Behaviors,Obesity among adults aged >=18 years,30.5,3322,Obesity
2018,17031030702,Health Outcomes,Stroke among adults aged >=18 years,2.4,1630,Stroke
2018,17031040402,Unhealthy Behaviors,Obesity among adults aged >=18 years,23.8,4468,Obesity
2018,17031051200,Health Outcomes,Arthritis among adults aged >=18 years,10.6,1516,Arthritis
2018,17031060400,Health Outcomes,Stroke among adults aged >=18 years,0.9,3370,Stroke
2018,17031061500,Health Outcomes,Stroke among adults aged >=18 years,0.9,1707,Stroke
2018,17031062300,Unhealthy Behaviors,Obesity among adults aged >=18 years,20.3,1513,Obesity
2018,17031070600,Unhealthy Behaviors,Obesity among adults aged >=18 years,21.6,2981,Obesity
2018,17031130100,Unhealthy Behaviors,Obesity among adults aged >=18 years,23.0,5133,Obesity
2018,17031160100,Unhealthy Behaviors,Obesity among adults aged >=18 years,26.7,2485,Obesity
2018,17031160700,Health Outcomes,Stroke among adults aged >=18 years,2.6,5893,Stroke
2018,17031210501,Health Outcomes,Stroke among adults aged >=18 years,3.0,3900,Stroke
2018,17031222900,Health Outcomes,Stroke among adults aged >=18 years,2.4,1244,Stroke
2018,17031230700,Health Outcomes,Stroke among adults aged >=18 years,3.1,6364,Stroke
2018,17031250800,Health Outcomes,Stroke among adults aged >=18 years,5.8,2488,Stroke
2018,17031301701,Health Outcomes,Stroke among adults aged >=18 years,3.3,4381,Stroke
2018,17031381500,Health Outcomes,Stroke among adults aged >=18 years,5.7,237,Stroke
2018,17031400300,Health Outcomes,Arthritis among adults aged >=18 years,23.2,1567,Arthritis
2018,17031410100,Health Outcomes,Stroke among adults aged >=18 years,2.9,1802,Stroke
2018,17031411000,Health Outcomes,Stroke among adults aged >=18 years,3.1,3309,Stroke
2018,17031430400,Health Outcomes,All teeth lost among adults aged >=65 years,21.9,2892,Teeth Loss
2018,17031450300,Unhealthy Behaviors,Obesity among adults aged >=18 years,40.6,3615,Obesity
2018,17031460600,Health Outcomes,Stroke among adults aged >=18 years,5.1,1183,Stroke
2018,17031480400,Health Outcomes,Stroke among adults aged >=18 years,6.5,5876,Stroke
2018,17031490902,Unhealthy Behaviors,Obesity among adults aged >=18 years,39.1,5086,Obesity
2018,17031550200,Health Outcomes,Arthritis among adults aged >=18 years,25.8,2798,Arthritis
2018,17031570200,Health Outcomes,Stroke among adults aged >=18 years,3.5,1943,Stroke
2018,17031580400,Health Outcomes,Stroke among adults aged >=18 years,2.8,4795,Stroke
2018,17031590600,Unhealthy Behaviors,Obesity among adults aged >=18 years,33.3,3564,Obesity
2018,17031630200,Health Outcomes,Arthritis among adults aged >=18 years,15.3,1931,Arthritis
2018,17031670600,Health Outcomes,Stroke among adults aged >=18 years,5.7,1650,Stroke
2018,17031671100,Health Outcomes,Arthritis among adults aged >=18 years,28.6,1259,Arthritis
2018,17031691300,Health Outcomes,Stroke among adults aged >=18 years,5.8,2448,Stroke
2018,17031720100,Health Outcomes,Arthritis among adults aged >=18 years,22.6,3300,Arthritis
2018,17031720700,Health Outcomes,Stroke among adults aged >=18 years,3.0,3149,Stroke
