locationname,All teeth lost among adults aged >=65 years,Arthritis among adults aged >=18 years,Binge drinking among adults aged >=18 years,Cancer (excluding skin cancer) among adults aged >=18 years,Cervical cancer screening among adult women aged 21-65 years,Cholesterol screening among adults aged >=18 years,Chronic kidney disease among adults aged >=18 years,Chronic obstructive pulmonary disease among adults aged >=18 years,Coronary heart disease among adults aged >=18 years,Current asthma among adults aged >=18 years,Current lack of health insurance among adults aged 18-64 years,Current smoking among adults aged >=18 years,Diagnosed diabetes among adults aged >=18 years,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",High blood pressure among adults aged >=18 years,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,Mammography use among women aged 50-74 years,Mental health not good for >=14 days among adults aged >=18 years,No leisure-time physical activity among adults aged >=18 years,Obesity among adults aged >=18 years,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening","Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",Physical health not good for >=14 days among adults aged >=18 years,Sleeping less than 7 hours among adults aged >=18 years,Stroke among adults aged >=18 years,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,Visits to dentist or dental clinic among adults aged >=18 years,Visits to doctor for routine checkup within the past year among adults aged >=18 years
17031010100,12.5,20.2,20.4,4.7,82.9,82.2,2.8,6.0,4.8,10.8,16.6,18.6,10.3,59.0,31.9,28.2,82.0,13.7,24.4,34.9,26.8,25.4,11.9,39.8,3.2,70.3,60.4,76.0
17031010201,16.6,19.7,20.6,4.2,79.9,79.6,3.0,6.9,5.2,11.0,24.4,22.7,11.1,53.3,30.2,27.8,80.2,15.7,29.6,36.4,24.2,22.9,14.0,41.2,3.3,67.5,52.7,73.4
17031010202,15.6,22.6,20.4,5.6,81.5,82.5,3.3,7.4,6.2,10.4,22.2,20.1,11.9,58.7,32.9,30.4,79.6,13.9,27.9,34.3,27.3,24.1,13.6,39.1,3.8,72.4,57.3,75.0
17031010300,13.1,22.6,20.8,6.3,82.4,83.0,3.1,6.7,6.1,9.7,17.9,17.4,10.4,62.1,32.5,31.0,78.9,12.4,24.8,31.1,29.9,24.8,12.0,36.6,3.5,73.3,62.8,75.4
17031010400,9.1,13.0,25.2,3.4,76.9,74.7,1.7,4.0,3.0,9.9,13.5,14.0,5.5,61.6,19.5,21.5,80.0,14.0,17.8,24.4,30.7,27.4,8.2,34.7,1.7,62.2,68.7,71.8
17031010501,9.5,17.4,22.5,4.8,81.4,80.9,2.4,4.7,4.4,9.4,15.0,15.4,8.0,62.6,27.0,26.2,80.7,12.1,20.5,29.7,30.9,26.9,9.6,36.8,2.5,68.3,65.2,74.0
17031010502,10.5,15.0,24.8,3.5,78.2,77.6,2.1,4.7,3.6,10.0,15.4,17.5,7.0,58.8,22.6,23.1,81.2,14.1,20.5,29.9,28.1,27.3,9.8,37.4,2.1,62.2,62.7,71.5
17031010503,18.3,24.5,18.7,6.2,66.0,75.5,4.0,9.1,8.9,10.9,19.8,19.6,13.7,56.8,32.5,32.8,76.7,16.5,30.1,29.4,24.8,21.3,15.0,36.4,4.6,76.5,53.3,75.3
17031010600,10.3,17.2,23.7,4.4,81.9,80.8,2.3,5.0,4.3,9.6,16.0,16.9,8.1,60.8,25.7,26.0,81.1,12.9,21.1,30.4,28.9,26.4,10.1,36.9,2.5,66.6,64.2,72.8
17031010701,11.8,18.9,21.8,4.7,82.7,81.8,2.6,5.7,4.8,9.5,20.6,18.0,9.5,57.9,27.5,28.2,79.1,12.9,24.8,32.5,27.9,26.4,11.7,37.3,2.8,67.6,60.9,72.9
