feature,data type,dataset,column name in cleaned dataset,Field,LongName,Description
census_tract,Integer,Food Access Atlas,censustract,CensusTract,Census tract,Census tract number
state,string,Food Access Atlas,state_x,State,State,State name
urban_flag,integer,Food Access Atlas,urban,Urban,Urban tract,County name
population,integer,Food Access Atlas,pop2010,POP2010,"Population, tract total",Flag for urban tract
housing_units,integer,Food Access Atlas,ohu2010,OHU2010,"Housing units, total",Population count from 2010 census
group_qtr_flag,integer,Food Access Atlas,groupquartersflag,GroupQuartersFlag,"Group quarters, tract with high share",Occupied housing unit count from 2010 census
ct_grp_qtr,float,Food Access Atlas,numgqtrs,NUMGQTRS,"Group quarters, tract population residing in, number",Flag for tract where >=67%
pct_grp_qtr,float,Food Access Atlas,pctgqtrs,PCTGQTRS,"Group quarters, tract population residing in, share",Count of tract population residing in group quarters
mf_ia_110,integer,Food Access Atlas,lilatracts_1and10,LILATracts_1And10,Low income and low access tract measured at 1 mile for urban areas and 10 miles for rural areas,Percent of tract population residing in group quarters
mf_ia_h110,integer,Food Access Atlas,lilatracts_halfand10,LILATracts_halfAnd10,Low income and low access tract measured at 1/2 mile for urban areas and 10 miles for rural areas,Flag for low-income and low access when considering low accessibilty at 1 and 10 miles
mf_ia_120,integer,Food Access Atlas,lilatracts_1and20,LILATracts_1And20,Low income and low access tract measured at 1 mile for urban areas and 20 miles for rural areas,Flag for low-income and low access when considering low accessibilty at 1/2 and 10 miles
mf_ia_vehicle,integer,Food Access Atlas,lilatracts_vehicle,LILATracts_Vehicle,Low income and low access tract using vehicle access or low income and low access tract measured at 20 miles,Flag for low-income and low access when considering low accessibilty at 1 and 20 miles
f_vehicle_access_flag,integer,Food Access Atlas,hunvflag,HUNVFlag,"Vehicle access, tract with low vehicle access",Flag for low-income and low access when considering vehicle access or at 20 miles
low_income,integer,Food Access Atlas,lowincometracts,LowIncomeTracts,Low income tract,"Flag for tract where >= 100 of households do not have a vehicle, and beyond 1/2 mile from supermarket"
