CensusTract,State,County,Urban,Pop2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATractsVehicle_20,LAPOP1_10,LAPOP05_10,LAPOP1_20,LALOWI1_10,LALOWI05_10,LALOWI1_20,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lawhitehalf,lawhitehalfshare,lablackhalf,lablackhalfshare,laasianhalf,laasianhalfshare,lanhopihalf,lanhopihalfshare,laaianhalf,laaianhalfshare,laomultirhalf,laomultirhalfshare,lahisphalf,lahisphalfshare,lahunvhalf,lahunvhalfshare,lasnaphalf,lasnaphalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lawhite1,lawhite1share,lablack1,lablack1share,laasian1,laasian1share,lanhopi1,lanhopi1share,laaian1,laaian1share,laomultir1,laomultir1share,lahisp1,lahisp1share,lahunv1,lahunv1share,lasnap1,lasnap1share,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP
17031010100,Illinois,Cook County,1,4854,2302,0,218.0,4.49,0,1,0,1,1,1,35.8,62177.0,0,1,0,1,0,1,,1085.0,,,259.0,,1085.0,22.36,259.0,5.33,137.0,2.83,91.0,1.87,633.0,13.05,318.0,6.54,51.0,1.05,0.0,0.0,3.0,0.06,81.0,1.66,116.0,2.4,277.0,12.03,109.0,4.73,,,,,,,,,,,,,,,,,,,,,,,,,,,2035.0,1058.0,277.0,1810.0,2437.0,150.0,1.0,33.0,423.0,616.0,1162.0,433.0
17031010201,Illinois,Cook County,1,6450,2463,0,163.0,2.53,0,0,0,0,0,1,36.8,47411.0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3776.0,1704.0,314.0,2312.0,2350.0,299.0,6.0,48.0,1435.0,2049.0,751.0,851.0
17031010202,Illinois,Cook County,1,2818,1115,0,315.0,11.18,0,0,0,0,0,1,18.5,51719.0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1476.0,623.0,309.0,1237.0,953.0,143.0,1.0,18.0,466.0,789.0,464.0,232.0
17031010300,Illinois,Cook County,1,6236,2826,0,791.0,12.68,0,1,0,1,1,1,16.1,66875.0,0,1,0,1,0,1,,1920.0,,,678.0,,1920.0,30.79,678.0,10.87,212.0,3.41,292.0,4.69,1183.0,18.96,521.0,8.36,59.0,0.95,3.0,0.04,6.0,0.1,147.0,2.37,204.0,3.27,315.0,11.14,137.0,4.86,,,,,,,,,,,,,,,,,,,,,,,,,,,2117.0,951.0,884.0,3267.0,1722.0,346.0,16.0,21.0,864.0,1169.0,993.0,470.0
17031010400,Illinois,Cook County,1,5042,2098,0,1349.0,26.76,0,0,0,0,0,1,19.1,59861.0,0,0,0,0,0,0,,5.0,,,2.0,,5.0,0.1,2.0,0.03,1.0,0.02,0.0,0.0,3.0,0.06,1.0,0.03,1.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.06,0.0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,1322.0,419.0,263.0,3341.0,729.0,562.0,5.0,17.0,388.0,480.0,655.0,277.0
17031010501,Illinois,Cook County,1,4091,2293,0,7.0,0.17,0,0,0,0,0,1,20.7,50266.0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1894.0,562.0,392.0,2018.0,1300.0,383.0,5.0,23.0,362.0,506.0,1132.0,466.0
17031010502,Illinois,Cook County,1,3101,1684,0,3.0,0.1,0,0,0,0,0,1,30.0,37500.0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1356.0,376.0,106.0,1820.0,776.0,239.0,1.0,31.0,234.0,340.0,751.0,180.0
17031010503,Illinois,Cook County,1,2290,1184,0,163.0,7.12,0,0,0,0,0,1,48.0,43654.0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1135.0,142.0,535.0,1452.0,303.0,331.0,2.0,19.0,183.0,245.0,494.0,296.0
17031010600,Illinois,Cook County,1,6097,2943,0,175.0,2.87,0,0,0,0,0,1,24.4,87545.0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2329.0,980.0,396.0,3459.0,1542.0,329.0,1.0,33.0,733.0,1153.0,1263.0,365.0
17031010701,Illinois,Cook County,1,3864,1535,0,0.0,0.0,0,0,0,0,0,1,20.8,72500.0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1593.0,962.0,240.0,2125.0,761.0,204.0,2.0,15.0,757.0,1463.0,285.0,273.0
17031010702,Illinois,Cook County,1,5143,1912,0,60.0,1.17,0,0,0,0,0,1,24.2,49440.0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2640.0,1363.0,167.0,2381.0,1155.0,323.0,3.0,36.0,1245.0,2423.0,698.0,406.0
17031020100,Illinois,Cook County,1,3965,1508,0,48.0,1.21,0,0,0,0,0,1,14.2,65982.0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1505.0,1000.0,352.0,1529.0,1182.0,608.0,4.0,28.0,614.0,952.0,250.0,250.0
17031020200,Illinois,Cook County,1,6676,2054,0,118.0,1.77,0,0,0,0,0,0,13.5,71300.0,0,0,0,0,0,0,,285.0,,,18.0,,285.0,4.27,18.0,0.26,112.0,1.67,30.0,0.45,228.0,3.41,11.0,0.17,33.0,0.49,0.0,0.0,0.0,0.0,13.0,0.19,21.0,0.31,1.0,0.03,14.0,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,2080.0,1865.0,838.0,4069.0,618.0,1394.0,1.0,8.0,586.0,943.0,91.0,352.0
17031020301,Illinois,Cook County,1,4750,1969,0,2.0,0.04,0,0,0,0,0,0,13.6,72461.0,0,1,0,1,0,0,,1862.0,,,532.0,,1862.0,39.21,532.0,11.2,705.0,14.84,235.0,4.95,1640.0,34.52,35.0,0.74,83.0,1.76,0.0,0.0,4.0,0.08,100.0,2.11,183.0,3.85,26.0,1.3,75.0,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,1916.0,1228.0,1233.0,3965.0,106.0,470.0,0.0,15.0,194.0,289.0,346.0,276.0
17031020302,Illinois,Cook County,1,4650,1630,0,369.0,7.94,0,1,0,0,0,1,22.8,95125.0,0,1,0,1,0,0,,1663.0,,,574.0,,1663.0,35.76,574.0,12.35,422.0,9.08,244.0,5.25,1244.0,26.75,105.0,2.25,206.0,4.42,0.0,0.0,4.0,0.08,105.0,2.25,242.0,5.2,93.0,5.69,79.0,4.83,,,,,,,,,,,,,,,,,,,,,,,,,,,1721.0,1103.0,685.0,3051.0,462.0,504.0,0.0,12.0,621.0,952.0,277.0,233.0
17031020400,Illinois,Cook County,1,4168,1688,0,15.0,0.36,0,0,0,0,0,0,17.9,75179.0,0,1,0,1,0,0,,818.0,,,330.0,,818.0,19.63,330.0,7.93,182.0,4.36,78.0,1.87,463.0,11.11,95.0,2.27,101.0,2.43,0.0,0.0,9.0,0.23,150.0,3.59,236.0,5.67,52.0,3.07,35.0,2.09,,,,,,,,,,,,,,,,,,,,,,,,,,,1463.0,1016.0,409.0,2266.0,718.0,530.0,0.0,27.0,627.0,987.0,200.0,162.0
17031020500,Illinois,Cook County,1,6214,2077,0,241.0,3.88,0,0,0,0,0,1,26.3,46250.0,0,0,0,0,0,0,,38.0,,,24.0,,38.0,0.61,24.0,0.39,12.0,0.19,2.0,0.03,12.0,0.2,5.0,0.07,14.0,0.22,0.0,0.0,1.0,0.02,7.0,0.11,10.0,0.16,2.0,0.11,3.0,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,3553.0,1592.0,641.0,2167.0,1221.0,1684.0,1.0,54.0,1087.0,1528.0,354.0,593.0
