,County,County Code,Year,Year Code,Cause of death,Deaths,Population,Crude Rate
382,"Cook County, IL",17031,2016,2016,Enterocolitis due to Clostridium difficile,62,5203499,1
383,"Cook County, IL",17031,2016,2016,Gastroenteritis and colitis of unspecified origin,17,5203499,0
384,"Cook County, IL",17031,2016,2016,Septicaemia due to Staphylococcus aureus,16,5203499,0
385,"Cook County, IL",17031,2016,2016,Septicaemia due to other Gram-negative organisms,28,5203499,0
386,"Cook County, IL",17031,2016,2016,"Septicaemia, unspecified",559,5203499,10
387,"Cook County, IL",17031,2016,2016,"Bacterial infection, unspecified",10,5203499,0
388,"Cook County, IL",17031,2016,2016,Chronic viral hepatitis C,69,5203499,1
389,"Cook County, IL",17031,2016,2016,HIV disease resulting in other bacterial infections,10,5203499,0
390,"Cook County, IL",17031,2016,2016,HIV disease resulting in other malignant neoplasms,10,5203499,0
391,"Cook County, IL",17031,2016,2016,HIV disease resulting in multiple diseases classified elsewhere,11,5203499,0
392,"Cook County, IL",17031,2016,2016,HIV disease resulting in other specified conditions,31,5203499,0
393,"Cook County, IL",17031,2016,2016,Unspecified human immunodeficiency virus [HIV] disease,28,5203499,0
394,"Cook County, IL",17031,2016,2016,Other viral infections of unspecified site,12,5203499,0
395,"Cook County, IL",17031,2016,2016,"Tongue, unspecified - Malignant neoplasms",51,5203499,1
396,"Cook County, IL",17031,2016,2016,"Mouth, unspecified - Malignant neoplasms",24,5203499,0
397,"Cook County, IL",17031,2016,2016,"Tonsil, unspecified - Malignant neoplasms",22,5203499,0
398,"Cook County, IL",17031,2016,2016,"Oropharynx, unspecified - Malignant neoplasms",19,5203499,0
399,"Cook County, IL",17031,2016,2016,"Nasopharynx, unspecified - Malignant neoplasms",13,5203499,0
400,"Cook County, IL",17031,2016,2016,"Pharynx, unspecified - Malignant neoplasms",20,5203499,0
401,"Cook County, IL",17031,2016,2016,"Oesophagus, unspecified - Malignant neoplasms",208,5203499,4
402,"Cook County, IL",17031,2016,2016,Cardia - Malignant neoplasms,18,5203499,0
403,"Cook County, IL",17031,2016,2016,"Stomach, unspecified - Malignant neoplasms",236,5203499,4
404,"Cook County, IL",17031,2016,2016,Duodenum - Malignant neoplasms,12,5203499,0
405,"Cook County, IL",17031,2016,2016,Appendix - Malignant neoplasms,13,5203499,0
