,County,County Code,Year,Year Code,Cause of death,Deaths,Population,Crude Rate
0,"Adams County, IL",17001,2016,2016,"Septicaemia, unspecified",29,66578,43
1,"Adams County, IL",17001,2016,2016,"Colon, unspecified - Malignant neoplasms",12,66578,0
2,"Adams County, IL",17001,2016,2016,"Bronchus or lung, unspecified - Malignant neoplasms",27,66578,40
3,"Adams County, IL",17001,2016,2016,Unspecified dementia,52,66578,78
4,"Adams County, IL",17001,2016,2016,"Alzheimer disease, unspecified",34,66578,51
5,"Adams County, IL",17001,2016,2016,"Acute myocardial infarction, unspecified",68,66578,102
6,"Adams County, IL",17001,2016,2016,Atherosclerotic heart disease,36,66578,54
7,"Adams County, IL",17001,2016,2016,Congestive heart failure,22,66578,33
8,"Adams County, IL",17001,2016,2016,"Heart failure, unspecified",11,66578,0
9,"Adams County, IL",17001,2016,2016,"Stroke, not specified as haemorrhage or infarction",20,66578,30
10,"Adams County, IL",17001,2016,2016,"Pneumonia, unspecified",15,66578,0
11,"Adams County, IL",17001,2016,2016,"Chronic obstructive pulmonary disease, unspecified",37,66578,55
12,"Adams County, IL",17001,2017,2017,"Septicaemia, unspecified",28,66234,42
13,"Adams County, IL",17001,2017,2017,"Colon, unspecified - Malignant neoplasms",12,66234,0
14,"Adams County, IL",17001,2017,2017,"Pancreas, unspecified - Malignant neoplasms",10,66234,0
15,"Adams County, IL",17001,2017,2017,"Bronchus or lung, unspecified - Malignant neoplasms",43,66234,64
16,"Adams County, IL",17001,2017,2017,"Breast, unspecified - Malignant neoplasms",16,66234,0
17,"Adams County, IL",17001,2017,2017,Malignant neoplasm of prostate,21,66234,31
18,"Adams County, IL",17001,2017,2017,Unspecified dementia,37,66234,55
19,"Adams County, IL",17001,2017,2017,"Alzheimer disease, unspecified",47,66234,71
20,"Adams County, IL",17001,2017,2017,Essential (primary) hypertension,11,66234,0
21,"Adams County, IL",17001,2017,2017,"Acute myocardial infarction, unspecified",58,66234,87
22,"Adams County, IL",17001,2017,2017,Atherosclerotic heart disease,42,66234,63
23,"Adams County, IL",17001,2017,2017,Congestive heart failure,17,66234,0
24,"Adams County, IL",17001,2017,2017,"Heart failure, unspecified",11,66234,0
25,"Adams County, IL",17001,2017,2017,"Stroke, not specified as haemorrhage or infarction",19,66234,0
26,"Adams County, IL",17001,2017,2017,"Pneumonia, unspecified",20,66234,30
27,"Adams County, IL",17001,2017,2017,"Chronic obstructive pulmonary disease, unspecified",30,66234,45
28,"Adams County, IL",17001,2017,2017,"Chronic kidney disease, stage 5",11,66234,0
29,"Adams County, IL",17001,2018,2018,"Septicaemia, unspecified",25,65691,38
30,"Adams County, IL",17001,2018,2018,"Pancreas, unspecified - Malignant neoplasms",11,65691,0
31,"Adams County, IL",17001,2018,2018,"Bronchus or lung, unspecified - Malignant neoplasms",49,65691,74
32,"Adams County, IL",17001,2018,2018,"Breast, unspecified - Malignant neoplasms",11,65691,0
33,"Adams County, IL",17001,2018,2018,Malignant neoplasm without specification of site,10,65691,0
34,"Adams County, IL",17001,2018,2018,Unspecified dementia,51,65691,77
35,"Adams County, IL",17001,2018,2018,Parkinson disease,17,65691,0
36,"Adams County, IL",17001,2018,2018,"Alzheimer disease, unspecified",48,65691,73
37,"Adams County, IL",17001,2018,2018,Essential (primary) hypertension,15,65691,0
