census_tract,population,housing_units,group_qtr_flag,ct_grp_qtr,pct_grp_qtr,mf_ia_110,mf_ia_h110,mf_ia_120,mf_ia_vehicle,f_vehicle_access_flag,low_income,prop_in_pov,median_income,mf_a_110,mf_a_h110,mf_a_120,mf_a_h1,mf_a_1,f_v_access_add_flag,ct_a_h1,prop_a_h1,ct_ai_h1,prop_ai_h1,ct_a_kids_h1,prop_a_kids_h1,ct_a_sen_h1,prop_a_sen_h1,ct_a_wht_h1,prop_a_wht_h1,ct_a_black_h1,prop_a_black_h1,ct_a_asian_h1,prop_a_asian_h1,ct_a_islander_h1,prop_a_islander_h1,ct_a_native_h1,prop_a_native_h1,ct_a_mult_h1,prop_a_mult_h1,ct_a_his_h1,prop_a_his_h1,ct_va_h1,prop_va_h1,ct_snap_h1,prop_snap_h1,ct_i_pop,ct_kids,ct_seniors,ct_white,ct_black,ct_asian,ct_islander,ct_native,ct_multi,ct_hispanic,ct_housing_no_vehicle,ct_snap,ho_tooth_loss,ho_arthritis,ub_alcoholic,ho_cancer,prev_c_cancer_screen,prev_chol_screen,ho_kidney_disease,ho_pulmonary,ho_ht_disease,ho_asthma,prev_lack_insurance,ub_smoker,ho_diabetes,prev_blood_test,ho_blood_pressure,ho_choles_screened,prev_mamm_use,ho_mental_health,ub_no_activity,ub_obesity,prev_clinical_services_m,prev_clinical_services_f,ho_physical_health,ub_sleep,ho_stroke,prev_med_bpressure,prev_dr_visits,prev_checkups,state,mrfei,geometry
17031010100,4854,2302,0,218.0,4.49,0,1,0,1,1,1,35.8,62177.0,0,1,0,1,0,1,1085.0,22.36,259.0,5.33,137.0,2.83,91.0,1.87,633.0,13.05,318.0,6.54,51.0,1.05,0.0,0.0,3.0,0.06,81.0,1.66,116.0,2.4,277.0,12.03,109.0,4.73,2035.0,1058.0,277.0,1810.0,2437.0,150.0,1.0,33.0,423.0,616.0,1162.0,433.0,12.5,20.2,20.4,4.7,82.9,82.2,2.8,6.0,4.8,10.8,16.6,18.6,10.3,59.0,31.9,28.2,82.0,13.7,24.4,34.9,26.8,25.4,11.9,39.8,3.2,70.3,60.4,76.0,IL,7.6923076923076925,"[(-87.677199, 42.022942), (-87.670073, 42.022968999999996), (-87.66606061669002, 42.0229300841594), (-87.66592531555361, 42.022642385085696), (-87.66434321854591, 42.0192782755457), (-87.66824299999999, 42.019214), (-87.66949799999999, 42.019363999999996), (-87.67133, 42.019374), (-87.67331, 42.019386999999995), (-87.677104, 42.022552), (-87.677199, 42.022942)]"
17031010201,6450,2463,0,163.0,2.53,0,0,0,0,0,1,36.8,47411.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3776.0,1704.0,314.0,2312.0,2350.0,299.0,6.0,48.0,1435.0,2049.0,751.0,851.0,16.6,19.7,20.6,4.2,79.9,79.6,3.0,6.9,5.2,11.0,24.4,22.7,11.1,53.3,30.2,27.8,80.2,15.7,29.6,36.4,24.2,22.9,14.0,41.2,3.3,67.5,52.7,73.4,,,"[(-87.684653, 42.019484999999996), (-87.680448, 42.019447), (-87.67685499999999, 42.019411), (-87.67653899999999, 42.017900000000004), (-87.676018, 42.015679), (-87.67567799999999, 42.012617), (-87.68027, 42.012536), (-87.682683, 42.012496999999996), (-87.683086, 42.012322999999995), (-87.68368799999999, 42.014035), (-87.684083, 42.015150999999996), (-87.684653, 42.019484999999996)]"
17031010202,2818,1115,0,315.0,11.18,0,0,0,0,0,1,18.5,51719.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1476.0,623.0,309.0,1237.0,953.0,143.0,1.0,18.0,466.0,789.0,464.0,232.0,15.6,22.6,20.4,5.6,81.5,82.5,3.3,7.4,6.2,10.4,22.2,20.1,11.9,58.7,32.9,30.4,79.6,13.9,27.9,34.3,27.3,24.1,13.6,39.1,3.8,72.4,57.3,75.0,,,"[(-87.67685499999999, 42.019411), (-87.673388, 42.019380999999996), (-87.67331, 42.019386999999995), (-87.67133, 42.019374), (-87.67036399999999, 42.018358), (-87.670329, 42.017056), (-87.670312, 42.015994), (-87.670198, 42.012713999999995), (-87.67567799999999, 42.012617), (-87.676018, 42.015679), (-87.67653899999999, 42.017900000000004), (-87.67685499999999, 42.019411)]"
17031010300,6236,2826,0,791.0,12.68,0,1,0,1,1,1,16.1,66875.0,0,1,0,1,0,1,1920.0,30.79,678.0,10.87,212.0,3.41,292.0,4.69,1183.0,18.96,521.0,8.36,59.0,0.95,3.0,0.04,6.0,0.1,147.0,2.37,204.0,3.27,315.0,11.14,137.0,4.86,2117.0,951.0,884.0,3267.0,1722.0,346.0,16.0,21.0,864.0,1169.0,993.0,470.0,13.1,22.6,20.8,6.3,82.4,83.0,3.1,6.7,6.1,9.7,17.9,17.4,10.4,62.1,32.5,31.0,78.9,12.4,24.8,31.1,29.9,24.8,12.0,36.6,3.5,73.3,62.8,75.4,IL,10.256410256410255,"[(-87.67133, 42.019374), (-87.66949799999999, 42.019363999999996), (-87.66824299999999, 42.019214), (-87.66434321854591, 42.0192782755457), (-87.6633644216982, 42.017196999999996), (-87.6623570669287, 42.015055), (-87.66132547261809, 42.0128614579828), (-87.66345299999999, 42.01283), (-87.66592399999999, 42.012786999999996), (-87.666294, 42.01278), (-87.670198, 42.012713999999995), (-87.670312, 42.015994), (-87.670329, 42.017056), (-87.67036399999999, 42.018358), (-87.67133, 42.019374)]"
17031010400,5042,2098,0,1349.0,26.76,0,0,0,0,0,1,19.1,59861.0,0,0,0,0,0,0,5.0,0.1,2.0,0.03,1.0,0.02,0.0,0.0,3.0,0.06,1.0,0.03,1.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.06,0.0,0.02,1322.0,419.0,263.0,3341.0,729.0,562.0,5.0,17.0,388.0,480.0,655.0,277.0,9.1,13.0,25.2,3.4,76.9,74.7,1.7,4.0,3.0,9.9,13.5,14.0,5.5,61.6,19.5,21.5,80.0,14.0,17.8,24.4,30.7,27.4,8.2,34.7,1.7,62.2,68.7,71.8,IL,8.16326530612245,"[(-87.66345299999999, 42.01283), (-87.66132547261809, 42.0128614579828), (-87.661084, 42.012347999999996), (-87.6583262575682, 42.0080207256299), (-87.657656, 42.006969), (-87.6568985961032, 42.0042211832155), (-87.6567953783635, 42.0038467153274), (-87.656296, 42.002035), (-87.65597770348259, 42.000227906119896), (-87.6556261500996, 41.998232), (-87.660553, 41.998188999999996), (-87.66071199999999, 42.000439), (-87.660783, 42.002551), (-87.660848, 42.004532), (-87.660851, 42.004616999999996), (-87.66089, 42.005386), (-87.661295, 42.006766999999996), (-87.661692, 42.007979), (-87.662089, 42.009183), (-87.66248499999999, 42.010400999999995), (-87.66294599999999, 42.011762), (-87.66345299999999, 42.01283)]"
17031010501,4091,2293,0,7.0,0.17,0,0,0,0,0,1,20.7,50266.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1894.0,562.0,392.0,2018.0,1300.0,383.0,5.0,23.0,362.0,506.0,1132.0,466.0,9.5,17.4,22.5,4.8,81.4,80.9,2.4,4.7,4.4,9.4,15.0,15.4,8.0,62.6,27.0,26.2,80.7,12.1,20.5,29.7,30.9,26.9,9.6,36.8,2.5,68.3,65.2,74.0,,,"[(-87.66592399999999, 42.012786999999996), (-87.66345299999999, 42.01283), (-87.66294599999999, 42.011762), (-87.66248499999999, 42.010400999999995), (-87.662089, 42.009183), (-87.661692, 42.007979), (-87.661295, 42.006766999999996), (-87.661869, 42.006141), (-87.665697, 42.006696), (-87.665737, 42.007915), (-87.665779, 42.009128), (-87.665818, 42.010345), (-87.66592399999999, 42.012786999999996)]"
17031010502,3101,1684,0,3.0,0.1,0,0,0,0,0,1,30.0,37500.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1356.0,376.0,106.0,1820.0,776.0,239.0,1.0,31.0,234.0,340.0,751.0,180.0,10.5,15.0,24.8,3.5,78.2,77.6,2.1,4.7,3.6,10.0,15.4,17.5,7.0,58.8,22.6,23.1,81.2,14.1,20.5,29.9,28.1,27.3,9.8,37.4,2.1,62.2,62.7,71.5,,,"[(-87.665735, 42.005462), (-87.665697, 42.006696), (-87.661869, 42.006141), (-87.661295, 42.006766999999996), (-87.66089, 42.005386), (-87.660851, 42.004616999999996), (-87.660848, 42.004532), (-87.660783, 42.002551), (-87.665644, 42.002421), (-87.66568099999999, 42.003623999999995), (-87.665705, 42.004459), (-87.665735, 42.005462)]"
17031010503,2290,1184,0,163.0,7.12,0,0,0,0,0,1,48.0,43654.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1135.0,142.0,535.0,1452.0,303.0,331.0,2.0,19.0,183.0,245.0,494.0,296.0,18.3,24.5,18.7,6.2,66.0,75.5,4.0,9.1,8.9,10.9,19.8,19.6,13.7,56.8,32.5,32.8,76.7,16.5,30.1,29.4,24.8,21.3,15.0,36.4,4.6,76.5,53.3,75.3,,,"[(-87.665644, 42.002421), (-87.660783, 42.002551), (-87.66071199999999, 42.000439), (-87.660553, 41.998188999999996), (-87.665436, 41.998135999999995), (-87.665596, 42.00083), (-87.665644, 42.002421)]"
17031010600,6097,2943,0,175.0,2.87,0,0,0,0,0,1,24.4,87545.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2329.0,980.0,396.0,3459.0,1542.0,329.0,1.0,33.0,733.0,1153.0,1263.0,365.0,10.3,17.2,23.7,4.4,81.9,80.8,2.3,5.0,4.3,9.6,16.0,16.9,8.1,60.8,25.7,26.0,81.1,12.9,21.1,30.4,28.9,26.4,10.1,36.9,2.5,66.6,64.2,72.8,IL,7.246376811594202,"[(-87.670593, 42.005373999999996), (-87.66994799999999, 42.005385), (-87.670035, 42.007839), (-87.670073, 42.009049), (-87.67011699999999, 42.010273999999995), (-87.670159, 42.011489999999995), (-87.670198, 42.012713999999995), (-87.666294, 42.01278), (-87.66592399999999, 42.012786999999996), (-87.665818, 42.010345), (-87.665779, 42.009128), (-87.665737, 42.007915), (-87.665697, 42.006696), (-87.665735, 42.005462), (-87.665705, 42.004459), (-87.66568099999999, 42.003623999999995), (-87.665644, 42.002421), (-87.665596, 42.00083), (-87.665436, 41.998135999999995), (-87.667962, 41.998109), (-87.668111, 42.003586999999996), (-87.670543, 42.003549), (-87.670593, 42.005373999999996)]"
17031010701,3864,1535,0,0.0,0.0,0,0,0,0,0,1,20.8,72500.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1593.0,962.0,240.0,2125.0,761.0,204.0,2.0,15.0,757.0,1463.0,285.0,273.0,11.8,18.9,21.8,4.7,82.7,81.8,2.6,5.7,4.8,9.5,20.6,18.0,9.5,57.9,27.5,28.2,79.1,12.9,24.8,32.5,27.9,26.4,11.7,37.3,2.8,67.6,60.9,72.9,,,"[(-87.682683, 42.012496999999996), (-87.68027, 42.012536), (-87.67567799999999, 42.012617), (-87.675406, 42.011393999999996), (-87.675328, 42.008962), (-87.675294, 42.007138999999995), (-87.67522699999999, 42.005302), (-87.680171, 42.005206), (-87.681161, 42.007349999999995), (-87.68184199999999, 42.008845), (-87.682323, 42.010157), (-87.683086, 42.012322999999995), (-87.682683, 42.012496999999996)]"
