"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"Adams County, IL"	"17001"	"2016"	"2016"	"Septicaemia, unspecified"	"A41.9"	29	66578	43.6
	"Adams County, IL"	"17001"	"2016"	"2016"	"Colon, unspecified - Malignant neoplasms"	"C18.9"	12	66578	Unreliable
	"Adams County, IL"	"17001"	"2016"	"2016"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	27	66578	40.6
	"Adams County, IL"	"17001"	"2016"	"2016"	"Unspecified dementia"	"F03"	52	66578	78.1
	"Adams County, IL"	"17001"	"2016"	"2016"	"Alzheimer disease, unspecified"	"G30.9"	34	66578	51.1
	"Adams County, IL"	"17001"	"2016"	"2016"	"Acute myocardial infarction, unspecified"	"I21.9"	68	66578	102.1
	"Adams County, IL"	"17001"	"2016"	"2016"	"Atherosclerotic heart disease"	"I25.1"	36	66578	54.1
	"Adams County, IL"	"17001"	"2016"	"2016"	"Congestive heart failure"	"I50.0"	22	66578	33.0
	"Adams County, IL"	"17001"	"2016"	"2016"	"Heart failure, unspecified"	"I50.9"	11	66578	Unreliable
	"Adams County, IL"	"17001"	"2016"	"2016"	"Stroke, not specified as haemorrhage or infarction"	"I64"	20	66578	30.0
	"Adams County, IL"	"17001"	"2016"	"2016"	"Pneumonia, unspecified"	"J18.9"	15	66578	Unreliable
	"Adams County, IL"	"17001"	"2016"	"2016"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	37	66578	55.6
	"Adams County, IL"	"17001"	"2017"	"2017"	"Septicaemia, unspecified"	"A41.9"	28	66234	42.3
	"Adams County, IL"	"17001"	"2017"	"2017"	"Colon, unspecified - Malignant neoplasms"	"C18.9"	12	66234	Unreliable
	"Adams County, IL"	"17001"	"2017"	"2017"	"Pancreas, unspecified - Malignant neoplasms"	"C25.9"	10	66234	Unreliable
	"Adams County, IL"	"17001"	"2017"	"2017"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	43	66234	64.9
	"Adams County, IL"	"17001"	"2017"	"2017"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	16	66234	Unreliable
	"Adams County, IL"	"17001"	"2017"	"2017"	"Malignant neoplasm of prostate"	"C61"	21	66234	31.7
	"Adams County, IL"	"17001"	"2017"	"2017"	"Unspecified dementia"	"F03"	37	66234	55.9
	"Adams County, IL"	"17001"	"2017"	"2017"	"Alzheimer disease, unspecified"	"G30.9"	47	66234	71.0
	"Adams County, IL"	"17001"	"2017"	"2017"	"Essential (primary) hypertension"	"I10"	11	66234	Unreliable
	"Adams County, IL"	"17001"	"2017"	"2017"	"Acute myocardial infarction, unspecified"	"I21.9"	58	66234	87.6
	"Adams County, IL"	"17001"	"2017"	"2017"	"Atherosclerotic heart disease"	"I25.1"	42	66234	63.4
	"Adams County, IL"	"17001"	"2017"	"2017"	"Congestive heart failure"	"I50.0"	17	66234	Unreliable
	"Adams County, IL"	"17001"	"2017"	"2017"	"Heart failure, unspecified"	"I50.9"	11	66234	Unreliable
	"Adams County, IL"	"17001"	"2017"	"2017"	"Stroke, not specified as haemorrhage or infarction"	"I64"	19	66234	Unreliable
	"Adams County, IL"	"17001"	"2017"	"2017"	"Pneumonia, unspecified"	"J18.9"	20	66234	30.2
